name,reason,smiles
L-cysteinesulfinic-acid,qc_incompatible,
L-cysteinesulfinic-acid,qc_incompatible,
L-hydroxyproline,qc_incompatible,
lasofoxifene,multi_fragment_structure,O[C@@H]([C@H](O)C(O)=O)C(O)=O.Oc1ccc2[C@H]([C@H](CCc2c1)c1ccccc1)c1ccc(OCCN2CCCC2)cc1
lasofoxifene,multi_fragment_structure,O[C@@H]([C@H](O)C(O)=O)C(O)=O.Oc1ccc2[C@H]([C@H](CCc2c1)c1ccccc1)c1ccc(OCCN2CCCC2)cc1
lindane,qc_incompatible,
lindane,qc_incompatible,
lithium-acetoacetate,qc_incompatible,
lithium-citrate,qc_incompatible,
lithium-citrate,qc_incompatible,
lithium-citrate,qc_incompatible,
lithium-citrate,qc_incompatible,
lurbinectedin,invalid_smiles,[H][C@@]12Cc3cc(C)c(OC)c(O)c3[C@@]([H])(N1C)[C@@]1([H])N([C@H]2O)[C@@]2([H])COC(=O)[C@]3(CS[C@]1([H])c1c(OC(C)=O)c(C)c4OCOc4c21)NCCc1c3[nH]c2ccc(OC)cc12 |THB:16:15:2.3.12:20.19.17|
lycopene,qc_incompatible,
methoxyflurane,qc_incompatible,
M-14157,qc_incompatible,
